"Город","Название города","Страна","Регион","Справка","Спорный"
"Валенсия","Валенсия","Испания",,"https://ru.wikipedia.org/wiki/Валенсия",
"Валлетта (город)","Валлетта","Мальта",,"https://ru.wikipedia.org/wiki/Валлетта",
"Валмиера","Валмиера","Латвия",,"https://ru.wikipedia.org/wiki/Валмиера",
"Валуйки","Валуйки","Россия","Белгородская область","https://ru.wikipedia.org/wiki/Валуйки",
"Вальдеаренас","Вальдеаренас","Испания",,"https://ru.wikipedia.org/wiki/Вальдеаренас",
"Ванкувер","Ванкувер","Канада",,"https://ru.wikipedia.org/wiki/Ванкувер",
"Вантаа","Вантаа","Финляндия",,"https://ru.wikipedia.org/wiki/Вантаа",
"Вараш","Вараш",,,"https://ru.wikipedia.org/wiki/Вараш","Да"
"Варезе (город)","Варезе","Италия",,"https://ru.wikipedia.org/wiki/Варесе",
"Варен (Верхняя Гаронна)","Варен","Франция",,"https://ru.wikipedia.org/wiki/Варен_(Верхняя_Гаронна)",
"Варна","Варна","Болгария",,"https://ru.wikipedia.org/wiki/Варна",
"Варшава","Варшава","Польша",,"https://ru.wikipedia.org/wiki/Варшава",
"Вахрушево (город)","Вахрушево","Луганская Народная Республика",,"https://ru.wikipedia.org/wiki/Вахрушево_(город)","Да"
"Вашингтон","Вашингтон","США",,"https://ru.wikipedia.org/wiki/Вашингтон",
"Веве","Веве","Швейцария",,"https://ru.wikipedia.org/wiki/Веве",
"Веггис","Веггис","Швейцария",,"https://ru.wikipedia.org/wiki/Веггис",
"Вейбридж","Вейбридж","Великобритания",,"https://ru.wikipedia.org/wiki/Уэйбридж",
"Веймар","Веймар","Германия",,"https://ru.wikipedia.org/wiki/Веймар",
"Велиж","Велиж","Россия","Смоленская область","https://ru.wikipedia.org/wiki/Велиж",
"Великие Луки","Великие Луки","Россия","Псковская область","https://ru.wikipedia.org/wiki/Великие_Луки",
"Великий Новгород","Великий Новгород","Россия","Новгородская область","https://ru.wikipedia.org/wiki/Великий_Новгород",
"Великий Устюг","Великий Устюг","Россия","Вологодская область","https://ru.wikipedia.org/wiki/Великий_Устюг",
"Веллингтон","Веллингтон","Новая Зеландия",,"https://ru.wikipedia.org/wiki/Веллингтон",
"Вельс","Вельс","Австрия",,"https://ru.wikipedia.org/wiki/Вельс",
"Вельск","Вельск","Россия","Архангельская область","https://ru.wikipedia.org/wiki/Вельск",
"Вена","Вена","Австрия",,"https://ru.wikipedia.org/wiki/Вена",
"Венёв","Венёв","Россия","Тульская область","https://ru.wikipedia.org/wiki/Венёв",
"Венерсборг","Венерсборг","Швеция",,"https://ru.wikipedia.org/wiki/Венерсборг",
"Венеция","Венеция","Италия",,"https://ru.wikipedia.org/wiki/Венеция",
"Вербания","Вербания","Италия",,"https://ru.wikipedia.org/wiki/Вербания",
"Верещагино","Верещагино","Россия","Пермский край","https://ru.wikipedia.org/wiki/Верещагино",
"Верея","Верея","Россия","Московская область","https://ru.wikipedia.org/wiki/Верея",
"Верона (город)","Верона","Италия",,"https://ru.wikipedia.org/wiki/Верона",
"Верхнебаканский","Верхнебаканский","Россия",,"https://ru.wikipedia.org/wiki/Верхнебаканский",
"Верхнедвинск","Верхнедвинск","Белоруссия",,"https://ru.wikipedia.org/wiki/Верхнедвинск",
"Верхнеднепровск","Верхнеднепровск",,,"https://ru.wikipedia.org/wiki/Верхнеднепровск","Да"
"Верхнеуральск","Верхнеуральск","Россия","Челябинская область","https://ru.wikipedia.org/wiki/Верхнеуральск",
"Верхний Ат-Урях","Верхний Ат-Урях","Россия",,"https://ru.wikipedia.org/wiki/Верхний_Ат-Урях",
"Верхний Тагил","Верхний Тагил","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Верхний_Тагил",
"Верхний Уфалей","Верхний Уфалей","Россия","Челябинская область","https://ru.wikipedia.org/wiki/Верхний_Уфалей",
"Верхняя Пышма","Верхняя Пышма","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Верхняя_Пышма",
"Верхняя Салда","Верхняя Салда","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Верхняя_Салда",
"Верхняя Тура","Верхняя Тура","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Верхняя_Тура",
"Верховажье","Верховажье","Россия",,"https://ru.wikipedia.org/wiki/Верховажье",
"Верхотурье","Верхотурье","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Верхотурье",
"Верхоянск","Верхоянск","Россия","Якутия","https://ru.wikipedia.org/wiki/Верхоянск",
"Верчелли","Верчелли","Италия",,"https://ru.wikipedia.org/wiki/Верчелли",
"Веспрем","Веспрем","Венгрия",,"https://ru.wikipedia.org/wiki/Веспрем",
"Весьегонск","Весьегонск","Россия","Тверская область","https://ru.wikipedia.org/wiki/Весьегонск",
"Ветка (город)","Ветка","Белоруссия",,"https://ru.wikipedia.org/wiki/Ветка_(город)",
"Ветлуга","Ветлуга","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Ветлуга_(город)",
"Вёшенская","Вёшенская","Россия",,"https://ru.wikipedia.org/wiki/Вёшенская",
"Вибо-Валентия","Вибо-Валентия","Италия",,"https://ru.wikipedia.org/wiki/Вибо-Валентия",
"Виго","Виго","Испания",,"https://ru.wikipedia.org/wiki/Виго",
"Виджаявада","Виджаявада","Индия",,"https://ru.wikipedia.org/wiki/Виджаявада",
"Видное","Видное","Россия","Московская область","https://ru.wikipedia.org/wiki/Видное",
"Вийёрбан","Вийёрбан","Франция",,"https://ru.wikipedia.org/wiki/Вийёрбан",
"Виктория (Британская Колумбия)","Виктория","Канада",,"https://ru.wikipedia.org/wiki/Виктория_(Британская_Колумбия)",
"Вилейка","Вилейка","Белоруссия",,"https://ru.wikipedia.org/wiki/Вилейка",
"Виллафрати","Виллафрати","Италия",,"https://ru.wikipedia.org/wiki/Виллафрати",
"Вильнёв (Валле-д’Аоста)","Вильнёв","Италия",,"https://ru.wikipedia.org/wiki/Вильнёв_(Валле-д’Аоста)",
"Вильнёв-д’Аск","Вильнёв-д’Аск","Франция",,"https://ru.wikipedia.org/wiki/Вильнёв-д’Аск",
"Вильнюс","Вильнюс","Литва",,"https://ru.wikipedia.org/wiki/Вильнюс",
"Вилья-Карлос-Пас","Вилья-Карлос-Пас","Аргентина",,"https://ru.wikipedia.org/wiki/Вилья-Карлос-Пас",
"Вилья-Ла-Ангостура","Вилья-Ла-Ангостура","Аргентина",,"https://ru.wikipedia.org/wiki/Вилья-Ла-Ангостура",
"Вилюйск","Вилюйск","Россия","Якутия","https://ru.wikipedia.org/wiki/Вилюйск",
"Вилючинск","Вилючинск","Россия","Камчатский край","https://ru.wikipedia.org/wiki/Вилючинск",
"Виндзор (город)","Виндзор","Великобритания",,"https://ru.wikipedia.org/wiki/Виндзор",
"Виндхук","Виндхук","Намибия",,"https://ru.wikipedia.org/wiki/Виндхук",
"Винница","Винница",,,"https://ru.wikipedia.org/wiki/Винница","Да"
"Винтертур","Винтертур","Швейцария",,"https://ru.wikipedia.org/wiki/Винтертур",
"Висагинас","Висагинас","Литва",,"https://ru.wikipedia.org/wiki/Висагинас",
"Висбаден","Висбаден","Германия",,"https://ru.wikipedia.org/wiki/Висбаден",
"Вистино","Вистино","Россия",,"https://ru.wikipedia.org/wiki/Вистино",
"Витебск","Витебск","Белоруссия",,"https://ru.wikipedia.org/wiki/Витебск",
"Витория-Гастейс","Витория-Гастейс","Испания",,"https://ru.wikipedia.org/wiki/Витория-Гастейс",
"Вифлеем","Вифлеем",,,"https://ru.wikipedia.org/wiki/Вифлеем","Да"
"Вихоревка","Вихоревка","Россия","Иркутская область","https://ru.wikipedia.org/wiki/Вихоревка",
"Вичуга","Вичуга","Россия","Ивановская область","https://ru.wikipedia.org/wiki/Вичуга",
"Вишакхапатнам","Вишакхапатнам","Индия",,"https://ru.wikipedia.org/wiki/Вишакхапатнам",
"Владивосток","Владивосток","Россия","Приморский край","https://ru.wikipedia.org/wiki/Владивосток",
"Владикавказ","Владикавказ","Россия","Северная Осетия","https://ru.wikipedia.org/wiki/Владикавказ",
"Владимир","Владимир","Россия","Владимирская область","https://ru.wikipedia.org/wiki/Владимир_(город,_Россия)",
"Владимир-Волынский","Владимир-Волынский",,,"https://ru.wikipedia.org/wiki/Владимир_(Украина)","Да"
"Во (Италия)","Во","Италия",,"https://ru.wikipedia.org/wiki/Во_(Италия)",
"Вокнаволок","Вокнаволок","Россия",,"https://ru.wikipedia.org/wiki/Вокнаволок",
"Волгоград","Волгоград","Россия","Волгоградская область","https://ru.wikipedia.org/wiki/Волгоград",
"Волгодонск","Волгодонск","Россия","Ростовская область","https://ru.wikipedia.org/wiki/Волгодонск",
"Волгореченск","Волгореченск","Россия","Костромская область","https://ru.wikipedia.org/wiki/Волгореченск",
"Волжск","Волжск","Россия","Марий Эл","https://ru.wikipedia.org/wiki/Волжск",
"Волжский","Волжский","Россия","Волгоградская область","https://ru.wikipedia.org/wiki/Волжский",
"Волноваха","Волноваха",,,"https://ru.wikipedia.org/wiki/Волноваха","Да"
"Вологда","Вологда","Россия","Вологодская область","https://ru.wikipedia.org/wiki/Вологда",
"Володарск","Володарск","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Володарск",
"Воложин (город)","Воложин","Белоруссия",,"https://ru.wikipedia.org/wiki/Воложин",
"Волоколамск","Волоколамск","Россия","Московская область","https://ru.wikipedia.org/wiki/Волоколамск",
"Волосово","Волосово","Россия","Ленинградская область","https://ru.wikipedia.org/wiki/Волосово",
"Волочиск","Волочиск",,,"https://ru.wikipedia.org/wiki/Волочиск","Да"
"Волхов","Волхов","Россия","Ленинградская область","https://ru.wikipedia.org/wiki/Волхов_(город)",
"Волчанск","Волчанск","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Волчанск_(Свердловская_область)",
"Вольск","Вольск","Россия","Саратовская область","https://ru.wikipedia.org/wiki/Вольск",
"Вонсан","Вонсан","КНДР",,"https://ru.wikipedia.org/wiki/Вонсан",
"Ворзель","Ворзель",,,"https://ru.wikipedia.org/wiki/Ворзель","Да"
"Воркута","Воркута","Россия","Коми","https://ru.wikipedia.org/wiki/Воркута",
"Вормс","Вормс","Германия",,"https://ru.wikipedia.org/wiki/Вормс",
"Воронеж","Воронеж","Россия","Воронежская область","https://ru.wikipedia.org/wiki/Воронеж",
"Вороньков","Вороньков",,,"https://ru.wikipedia.org/wiki/Вороньков","Да"
"Ворсма","Ворсма","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Ворсма",
"Воскресенск","Воскресенск","Россия","Московская область","https://ru.wikipedia.org/wiki/Воскресенск",
"Воткинск","Воткинск","Россия","Удмуртия","https://ru.wikipedia.org/wiki/Воткинск",
"Вроцлав","Вроцлав","Польша",,"https://ru.wikipedia.org/wiki/Вроцлав",
"Всеволожск","Всеволожск","Россия","Ленинградская область","https://ru.wikipedia.org/wiki/Всеволожск",
"Вуктыл","Вуктыл","Россия","Коми","https://ru.wikipedia.org/wiki/Вуктыл",
"Выборг","Выборг","Россия","Ленинградская область","https://ru.wikipedia.org/wiki/Выборг",
"Выкса","Выкса","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Выкса",
"Высоковск","Высоковск","Россия","Московская область","https://ru.wikipedia.org/wiki/Высоковск",
"Высоцк","Высоцк","Россия","Ленинградская область","https://ru.wikipedia.org/wiki/Высоцк",
"Вытегра","Вытегра","Россия","Вологодская область","https://ru.wikipedia.org/wiki/Вытегра",
"Вышгород","Вышгород",,,"https://ru.wikipedia.org/wiki/Вышгород","Да"
"Вышний Волочёк","Вышний Волочёк","Россия","Тверская область","https://ru.wikipedia.org/wiki/Вышний_Волочёк",
"Вьентьян","Вьентьян","Лаос",,"https://ru.wikipedia.org/wiki/Вьентьян",
"Вяземский","Вяземский","Россия","Хабаровский край","https://ru.wikipedia.org/wiki/Вяземский_(город)",
"Вязники","Вязники","Россия","Владимирская область","https://ru.wikipedia.org/wiki/Вязники",
"Вязьма","Вязьма","Россия","Смоленская область","https://ru.wikipedia.org/wiki/Вязьма",
"Вятские Поляны","Вятские Поляны","Россия","Кировская область","https://ru.wikipedia.org/wiki/Вятские_Поляны",
"Гаага","Гаага","Нидерланды",,"https://ru.wikipedia.org/wiki/Гаага",
"Габала","Габала","Азербайджан",,"https://ru.wikipedia.org/wiki/Габала",
"Габороне","Габороне","Ботсвана",,"https://ru.wikipedia.org/wiki/Габороне",
"Гавана","Гавана","Куба",,"https://ru.wikipedia.org/wiki/Гавана",
"Гавр (Франция)","Гавр","Франция",,"https://ru.wikipedia.org/wiki/Гавр",
"Гаврилов Посад","Гаврилов Посад","Россия","Ивановская область","https://ru.wikipedia.org/wiki/Гаврилов_Посад",
"Гаврилов-Ям","Гаврилов-Ям","Россия","Ярославская область","https://ru.wikipedia.org/wiki/Гаврилов-Ям",
"Гагарин","Гагарин","Россия","Смоленская область","https://ru.wikipedia.org/wiki/Гагарин_(Смоленская_область)",
"Гагра","Гагра","Абхазия",,"https://ru.wikipedia.org/wiki/Гагра",
"Гаджиево","Гаджиево","Россия","Мурманская область","https://ru.wikipedia.org/wiki/Гаджиево",
"Гадрут","Гадрут","Азербайджан",,"https://ru.wikipedia.org/wiki/Гадрут",
"Гадяч","Гадяч",,,"https://ru.wikipedia.org/wiki/Гадяч","Да"
"Газни","Газни","Афганистан",,"https://ru.wikipedia.org/wiki/Газни",
"Гай","Гай","Россия","Оренбургская область","https://ru.wikipedia.org/wiki/Гай_(город)",
"Галац","Галац","Румыния",,"https://ru.wikipedia.org/wiki/Галац",
"Галифакс (Новая Шотландия)","Галифакс","Канада",,"https://ru.wikipedia.org/wiki/Галифакс_(Новая_Шотландия)",
"Галич","Галич","Россия","Костромская область","https://ru.wikipedia.org/wiki/Галич_(Костромская_область)",
"Галле (город, Германия)","Галле","Германия",,"https://ru.wikipedia.org/wiki/Галле_(город,_Германия)",
"Гамбург","Гамбург","Германия",,"https://ru.wikipedia.org/wiki/Гамбург",
"Гамильтон (Онтарио)","Гамильтон","Канада",,"https://ru.wikipedia.org/wiki/Гамильтон_(Онтарио)",
"Ганновер","Ганновер","Германия",,"https://ru.wikipedia.org/wiki/Ганновер",
"Гао (город)","Гао","Мали",,"https://ru.wikipedia.org/wiki/Гао",
"Гаосюн","Гаосюн","Китай",,"https://ru.wikipedia.org/wiki/Гаосюн",
"Гатчина","Гатчина","Россия","Ленинградская область","https://ru.wikipedia.org/wiki/Гатчина",
"Гвадалахара (Испания)","Гвадалахара","Испания",,"https://ru.wikipedia.org/wiki/Гвадалахара_(Испания)",
"Гвадар","Гвадар","Пакистан",,"https://ru.wikipedia.org/wiki/Гвадар",
"Гвалиор","Гвалиор","Индия",,"https://ru.wikipedia.org/wiki/Гвалиор",
"Гвардейск","Гвардейск","Россия","Калининградская область","https://ru.wikipedia.org/wiki/Гвардейск",
"Гватемала (город)","Гватемала","Гватемала",,"https://ru.wikipedia.org/wiki/Гватемала_(город)",
"Гданьск","Гданьск","Польша",,"https://ru.wikipedia.org/wiki/Гданьск",
"Гдов","Гдов","Россия","Псковская область","https://ru.wikipedia.org/wiki/Гдов",
"Гдыня","Гдыня","Польша",,"https://ru.wikipedia.org/wiki/Гдыня",
"Геленджик","Геленджик","Россия","Краснодарский край","https://ru.wikipedia.org/wiki/Геленджик",
"Гельзенкирхен","Гельзенкирхен","Германия",,"https://ru.wikipedia.org/wiki/Гельзенкирхен",
"Геническ","Геническ",,,"https://ru.wikipedia.org/wiki/Геническ","Да"
"Генуя","Генуя","Италия",,"https://ru.wikipedia.org/wiki/Генуя",
"Георгиевск","Георгиевск","Россия","Ставропольский край","https://ru.wikipedia.org/wiki/Георгиевск",
"Герасдорф-бай-Вин","Герасдорф-бай-Вин","Австрия",,"https://ru.wikipedia.org/wiki/Герасдорф-бай-Вин",
"Герат (город)","Герат","Афганистан",,"https://ru.wikipedia.org/wiki/Герат_(город)",
"Гермонасса","Гермонасса",,,"https://ru.wikipedia.org/wiki/Гермонасса",
"Герцлия","Герцлия","Израиль",,"https://ru.wikipedia.org/wiki/Герцлия",
"Гётеборг","Гётеборг","Швеция",,"https://ru.wikipedia.org/wiki/Гётеборг",
"Гжехотки","Гжехотки","Польша",,"https://ru.wikipedia.org/wiki/Гжехотки",
"Гиват-Зеэв","Гиват-Зеэв","Израиль",,"https://ru.wikipedia.org/wiki/Гиват-Зеэв",
"Гилрой (Калифорния)","Гилрой","США",,,
"Гирин (город)","Гирин","Китай",,"https://ru.wikipedia.org/wiki/Гирин_(город)",
"Гискар","Гискар","Франция",,"https://ru.wikipedia.org/wiki/Гискар",
"Глазго","Глазго","Великобритания",,"https://ru.wikipedia.org/wiki/Глазго",
"Глазов","Глазов","Россия","Удмуртия","https://ru.wikipedia.org/wiki/Глазов",
"Глазуновская (Волгоградская область)","Глазуновская","Россия",,"https://ru.wikipedia.org/wiki/Глазуновская_(Волгоградская_область)",
"Глендейл (Калифорния)","Глендейл","США",,"https://ru.wikipedia.org/wiki/Глендейл_(Калифорния)",
"Гливице","Гливице","Польша",,"https://ru.wikipedia.org/wiki/Гливице",
"Глостер (Англия)","Глостер","Великобритания",,"https://ru.wikipedia.org/wiki/Глостер",
"Глухов (город)","Глухов",,,"https://ru.wikipedia.org/wiki/Глухов","Да"
"Голд-Кост","Голд-Кост","Австралия",,"https://ru.wikipedia.org/wiki/Голд-Кост",
"Голицыно","Голицыно","Россия","Московская область","https://ru.wikipedia.org/wiki/Голицыно",
"Голливуд","Голливуд","США",,"https://ru.wikipedia.org/wiki/Голливуд",
"Гома (город)","Гома","Демократическая Республика Конго",,"https://ru.wikipedia.org/wiki/Гома",
"Гомель","Гомель","Белоруссия",,"https://ru.wikipedia.org/wiki/Гомель",
"Гомонтово","Гомонтово","Россия",,"https://ru.wikipedia.org/wiki/Гомонтово",
"Гонолулу","Гонолулу","США",,"https://ru.wikipedia.org/wiki/Гонолулу",
"Горбатов","Горбатов","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Горбатов_(город)",
"Гори (город)","Гори","Грузия",,"https://ru.wikipedia.org/wiki/Гори",
"Горки (город)","Горки","Белоруссия",,"https://ru.wikipedia.org/wiki/Горки_(город)",
"Горловка","Горловка","Донецкая Народная Республика",,"https://ru.wikipedia.org/wiki/Горловка","Да"
"Горно-Алтайск","Горно-Алтайск","Россия","Алтай","https://ru.wikipedia.org/wiki/Горно-Алтайск",
"Горнозаводск","Горнозаводск","Россия","Пермский край","https://ru.wikipedia.org/wiki/Горнозаводск_(Пермский_край)",
"Горный (Забайкальский край)","Горный","Россия",,"https://ru.wikipedia.org/wiki/Горный_(Забайкальский_край)",
"Горняк","Горняк","Россия","Алтайский край","https://ru.wikipedia.org/wiki/Горняк_(Алтайский_край)",
"Городец","Городец","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Городец",
"Городище","Городище","Россия","Пензенская область","https://ru.wikipedia.org/wiki/Городище_(Пензенская_область)",
"Городовиковск","Городовиковск","Россия","Калмыкия","https://ru.wikipedia.org/wiki/Городовиковск",
"Городок (город, Белоруссия)","Городок","Белоруссия",,"https://ru.wikipedia.org/wiki/Городок_(город,_Белоруссия)",
"Горохов (город)","Горохов",,,"https://ru.wikipedia.org/wiki/Горохов_(город)","Да"
"Гороховец","Гороховец","Россия","Владимирская область","https://ru.wikipedia.org/wiki/Гороховец",
"Горячий Ключ","Горячий Ключ","Россия","Краснодарский край","https://ru.wikipedia.org/wiki/Горячий_Ключ",
"Гостомель","Гостомель",,,"https://ru.wikipedia.org/wiki/Гостомель","Да"
"Грайворон","Грайворон","Россия","Белгородская область","https://ru.wikipedia.org/wiki/Грайворон",
"Грац","Грац","Австрия",,"https://ru.wikipedia.org/wiki/Грац",
"Грейт-Данмоу","Грейт-Данмоу","Великобритания",,,
"Гремячинск","Гремячинск","Россия","Пермский край","https://ru.wikipedia.org/wiki/Гремячинск",
"Гренобль","Гренобль","Франция",,"https://ru.wikipedia.org/wiki/Гренобль",
"Грибки (Московская область)","Грибки","Россия",,"https://ru.wikipedia.org/wiki/Грибки_(Московская_область)",
"Гродно","Гродно","Белоруссия",,"https://ru.wikipedia.org/wiki/Гродно",
"Грозный","Грозный","Россия","Чечня","https://ru.wikipedia.org/wiki/Грозный",
"Гронинген","Гронинген","Нидерланды",,"https://ru.wikipedia.org/wiki/Гронинген",
"Гроттаферрата","Гроттаферрата","Италия",,"https://ru.wikipedia.org/wiki/Гроттаферрата",
"Грязи","Грязи","Россия","Липецкая область","https://ru.wikipedia.org/wiki/Грязи",
"Грязовец","Грязовец","Россия","Вологодская область","https://ru.wikipedia.org/wiki/Грязовец",
"Гуанчжоу","Гуанчжоу","Китай",,"https://ru.wikipedia.org/wiki/Гуанчжоу",
"Губаха","Губаха","Россия","Пермский край","https://ru.wikipedia.org/wiki/Губаха",
"Губкин","Губкин","Россия","Белгородская область","https://ru.wikipedia.org/wiki/Губкин_(город)",
"Губкинский","Губкинский","Россия","Ямало-Ненецкий АО","https://ru.wikipedia.org/wiki/Губкинский",
"Гудаута","Гудаута","Абхазия/ Грузия",,"https://ru.wikipedia.org/wiki/Гудаута",
"Гудермес","Гудермес","Россия","Чечня","https://ru.wikipedia.org/wiki/Гудермес",
"Гуджранвала","Гуджранвала","Пакистан",,"https://ru.wikipedia.org/wiki/Гуджранвала",
"Гуково","Гуково","Россия","Ростовская область","https://ru.wikipedia.org/wiki/Гуково_(город)",
"Гулькевичи","Гулькевичи","Россия","Краснодарский край","https://ru.wikipedia.org/wiki/Гулькевичи",
"Гульшат (посёлок)","Гульшат","Казахстан",,"https://ru.wikipedia.org/wiki/Гульшат",
"Гуляйполе","Гуляйполе",,,"https://ru.wikipedia.org/wiki/Гуляйполе","Да"
"Гуниха","Гуниха","Россия",,"https://ru.wikipedia.org/wiki/Гуниха",
"Гунтур (город)","Гунтур","Индия",,"https://ru.wikipedia.org/wiki/Гунтур",
"Гурзуф (посёлок)","Гурзуф","Россия/ Украина",,"https://ru.wikipedia.org/wiki/Гурзуф",
"Гурьевск","Гурьевск","Россия","Кемеровская область","https://ru.wikipedia.org/wiki/Гурьевск_(Кемеровская_область)",
"Гусев","Гусев","Россия","Калининградская область","https://ru.wikipedia.org/wiki/Гусев_(город)",
"Гусиноозёрск","Гусиноозёрск","Россия","Бурятия","https://ru.wikipedia.org/wiki/Гусиноозёрск",
"Гусь-Хрустальный","Гусь-Хрустальный","Россия","Владимирская область","https://ru.wikipedia.org/wiki/Гусь-Хрустальный",
"Гштад","Гштад","Швейцария",,"https://ru.wikipedia.org/wiki/Гштад",
"Гюмри","Гюмри","Армения",,"https://ru.wikipedia.org/wiki/Гюмри",
"Гянджа (город)","Гянджа","Азербайджан",,"https://ru.wikipedia.org/wiki/Гянджа",
"Давлеканово","Давлеканово","Россия","Башкортостан","https://ru.wikipedia.org/wiki/Давлеканово",
"Давос","Давос","Швейцария",,"https://ru.wikipedia.org/wiki/Давос",
"Дагестанские Огни","Дагестанские Огни","Россия","Дагестан","https://ru.wikipedia.org/wiki/Дагестанские_Огни",
"Дагомыс","Дагомыс","Россия",,"https://ru.wikipedia.org/wiki/Дагомыс",
"Дайр-эз-Заур","Дайр-эз-Заур","Сирия",,"https://ru.wikipedia.org/wiki/Дайр-эз-Заур",
"Дакар","Дакар","Сенегал",,"https://ru.wikipedia.org/wiki/Дакар",
"Даллас","Даллас","США",,"https://ru.wikipedia.org/wiki/Даллас",
"Далматово","Далматово","Россия","Курганская область","https://ru.wikipedia.org/wiki/Далматово",
"Дальнегорск","Дальнегорск","Россия","Приморский край","https://ru.wikipedia.org/wiki/Дальнегорск",
"Дальнереченск","Дальнереченск","Россия","Приморский край","https://ru.wikipedia.org/wiki/Дальнереченск",
"Далянь","Далянь","Китай",,"https://ru.wikipedia.org/wiki/Далянь",
"Дамаск","Дамаск","Сирия",,"https://ru.wikipedia.org/wiki/Дамаск",
"Даммари-ле-Лис","Даммари-ле-Лис","Франция",,"https://ru.wikipedia.org/wiki/Даммари-ле-Лис",
"Дананг","Дананг","Вьетнам",,"https://ru.wikipedia.org/wiki/Дананг",
"Данвилл (Пенсильвания)","Данвилл","США",,"https://ru.wikipedia.org/wiki/Данвилл_(Виргиния)",
"Данидин","Данидин","Новая Зеландия",,"https://ru.wikipedia.org/wiki/Данидин",
"Данилов","Данилов","Россия","Ярославская область","https://ru.wikipedia.org/wiki/Данилов_(город)",
"Данков","Данков","Россия","Липецкая область","https://ru.wikipedia.org/wiki/Данков",
"Дар-эс-Салам","Дар-эс-Салам","Танзания",,"https://ru.wikipedia.org/wiki/Дар-эс-Салам",
"Дарасун","Дарасун","Россия",,"https://ru.wikipedia.org/wiki/Дарасун",
"Даръа","Даръа","Сирия",,"https://ru.wikipedia.org/wiki/Даръа",
"Даугавпилс","Даугавпилс","Латвия",,"https://ru.wikipedia.org/wiki/Даугавпилс",
"Дебальцево","Дебальцево",,,"https://ru.wikipedia.org/wiki/Дебальцево","Да"
"Дегтярск","Дегтярск","Россия","Свердловская область","https://ru.wikipedia.org/wiki/Дегтярск",
"Дедовск","Дедовск","Россия","Московская область","https://ru.wikipedia.org/wiki/Дедовск",
"Дейтон (Огайо)","Дейтон","США",,"https://ru.wikipedia.org/wiki/Дейтон",
"Дели","Дели","Индия",,"https://ru.wikipedia.org/wiki/Дели",
"Делфт","Делфт","Нидерланды",,"https://ru.wikipedia.org/wiki/Делфт",
"Демидов","Демидов","Россия","Смоленская область","https://ru.wikipedia.org/wiki/Демидов_(город)",
"Денвер","Денвер","США",,"https://ru.wikipedia.org/wiki/Денвер",
"Дера-Исмаил-Хан","Дера-Исмаил-Хан","Пакистан",,"https://ru.wikipedia.org/wiki/Дера-Исмаил-Хан",
"Дербент","Дербент","Россия","Дагестан","https://ru.wikipedia.org/wiki/Дербент",
"Десногорск","Десногорск","Россия","Смоленская область","https://ru.wikipedia.org/wiki/Десногорск",
"Дессау-Рослау","Дессау-Рослау","Германия",,"https://ru.wikipedia.org/wiki/Дессау-Рослау",
"Детройт","Детройт","США",,"https://ru.wikipedia.org/wiki/Детройт",
"Джакарта","Джакарта","Индонезия",,"https://ru.wikipedia.org/wiki/Джакарта",
"Джанкой","Джанкой","Россия","Крым","https://ru.wikipedia.org/wiki/Джанкой",
"Джвари (город)","Джвари","Грузия",,"https://ru.wikipedia.org/wiki/Джвари_(город)",
"Джексонвилл","Джексонвилл","США",,"https://ru.wikipedia.org/wiki/Джэксонвилл",
"Джелалабад","Джелалабад","Афганистан",,"https://ru.wikipedia.org/wiki/Джелалабад",
"Джерабулус","Джерабулус","Сирия",,"https://ru.wikipedia.org/wiki/Джерабулус",
"Джибути (город)","Джибути","Джибути",,"https://ru.wikipedia.org/wiki/Джибути_(город)",
"Джидда","Джидда","Саудовская Аравия",,"https://ru.wikipedia.org/wiki/Джидда",
"Джохор-Бару","Джохор-Бару","Малайзия",,"https://ru.wikipedia.org/wiki/Джохор-Бару",
"Джубга (посёлок)","Джубга","Россия",,"https://ru.wikipedia.org/wiki/Джубга",
"Дзержинск","Дзержинск","Россия","Нижегородская область","https://ru.wikipedia.org/wiki/Дзержинск_(Россия)",
"Дзержинский","Дзержинский","Россия","Московская область","https://ru.wikipedia.org/wiki/Дзержинский_(город)",
"Дзёэцу","Дзёэцу","Япония",,"https://ru.wikipedia.org/wiki/Дзёэцу",
"Дивногорск","Дивногорск","Россия","Красноярский край","https://ru.wikipedia.org/wiki/Дивногорск",
"Дивное (Балтийск)","Дивное","Россия",,"https://ru.wikipedia.org/wiki/Дивное_(Балтийск)",
"Дигора","Дигора","Россия","Северная Осетия","https://ru.wikipedia.org/wiki/Дигора",
"Дижон","Дижон","Франция",,"https://ru.wikipedia.org/wiki/Дижон",
"Дилижан","Дилижан","Армения",,"https://ru.wikipedia.org/wiki/Дилижан",
